generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,Best individual,Best fitness,Total distance
0,86,0.000379580065342238,0.00043425811056353936,0.00040631711775744735,1.3561995185734677e-05,"[80, 40, 57, 60, 31, 65, 16, 12, 24, 64, 72, 83, 99, 71, 35, 86, 23, 66, 67, 93, 92, 94, 69, 78, 76, 7, 32, 49, 20, 90, 22, 9, 73, 59, 100, 84, 48, 18, 1, 2, 36, 14, 44, 25, 53, 17, 19, 95, 34, 6, 54, 74, 89, 37, 8, 5, 70, 21, 43, 88, 62, 96, 30, 63, 4, 77, 41, 15, 50, 26, 38, 61, 97, 11, 75, 33, 47, 91, 79, 39, 52, 55, 87, 42, 58, 45, 28, 27, 10, 56, 85, 82, 81, 29, 13, 68, 46, 98, 3, 51]",0.00043425811056353936,2302.77794628244
1,74,0.000379580065342238,0.00043425811056353936,0.00040860688882662997,1.3134695497199425e-05,"[80, 40, 57, 60, 31, 65, 16, 12, 24, 64, 72, 83, 99, 71, 35, 86, 23, 66, 67, 93, 92, 94, 69, 78, 76, 7, 32, 49, 20, 90, 22, 9, 73, 59, 100, 84, 48, 18, 1, 2, 36, 14, 44, 25, 53, 17, 19, 95, 34, 6, 54, 74, 89, 37, 8, 5, 70, 21, 43, 88, 62, 96, 30, 63, 4, 77, 41, 15, 50, 26, 38, 61, 97, 11, 75, 33, 47, 91, 79, 39, 52, 55, 87, 42, 58, 45, 28, 27, 10, 56, 85, 82, 81, 29, 13, 68, 46, 98, 3, 51]",0.00043425811056353936,2302.77794628244
2,83,0.0003832256390332259,0.00043425811056353936,0.0004094610300861447,1.3622012117939797e-05,"[80, 40, 57, 60, 31, 65, 16, 12, 24, 64, 72, 83, 99, 71, 35, 86, 23, 66, 67, 93, 92, 94, 69, 78, 76, 7, 32, 49, 20, 90, 22, 9, 73, 59, 100, 84, 48, 18, 1, 2, 36, 14, 44, 25, 53, 17, 19, 95, 34, 6, 54, 74, 89, 37, 8, 5, 70, 21, 43, 88, 62, 96, 30, 63, 4, 77, 41, 15, 50, 26, 38, 61, 97, 11, 75, 33, 47, 91, 79, 39, 52, 55, 87, 42, 58, 45, 28, 27, 10, 56, 85, 82, 81, 29, 13, 68, 46, 98, 3, 51]",0.00043425811056353936,2302.77794628244
3,80,0.0003832256390332259,0.00043425811056353936,0.0004126191803928453,1.3154547011431216e-05,"[80, 40, 57, 60, 31, 65, 16, 12, 24, 64, 72, 83, 99, 71, 35, 86, 23, 66, 67, 93, 92, 94, 69, 78, 76, 7, 32, 49, 20, 90, 22, 9, 73, 59, 100, 84, 48, 18, 1, 2, 36, 14, 44, 25, 53, 17, 19, 95, 34, 6, 54, 74, 89, 37, 8, 5, 70, 21, 43, 88, 62, 96, 30, 63, 4, 77, 41, 15, 50, 26, 38, 61, 97, 11, 75, 33, 47, 91, 79, 39, 52, 55, 87, 42, 58, 45, 28, 27, 10, 56, 85, 82, 81, 29, 13, 68, 46, 98, 3, 51]",0.00043425811056353936,2302.77794628244
4,86,0.0003832256390332259,0.00043425811056353936,0.00041528541296529596,1.369526595754614e-05,"[80, 40, 57, 60, 31, 65, 16, 12, 24, 64, 72, 83, 99, 71, 35, 86, 23, 66, 67, 93, 92, 94, 69, 78, 76, 7, 32, 49, 20, 90, 22, 9, 73, 59, 100, 84, 48, 18, 1, 2, 36, 14, 44, 25, 53, 17, 19, 95, 34, 6, 54, 74, 89, 37, 8, 5, 70, 21, 43, 88, 62, 96, 30, 63, 4, 77, 41, 15, 50, 26, 38, 61, 97, 11, 75, 33, 47, 91, 79, 39, 52, 55, 87, 42, 58, 45, 28, 27, 10, 56, 85, 82, 81, 29, 13, 68, 46, 98, 3, 51]",0.00043425811056353936,2302.77794628244
5,88,0.0003832256390332259,0.00043425811056353936,0.0004170959860135139,1.319451173775284e-05,"[80, 40, 57, 60, 31, 65, 16, 12, 24, 64, 72, 83, 99, 71, 35, 86, 23, 66, 67, 93, 92, 94, 69, 78, 76, 7, 32, 49, 20, 90, 22, 9, 73, 59, 100, 84, 48, 18, 1, 2, 36, 14, 44, 25, 53, 17, 19, 95, 34, 6, 54, 74, 89, 37, 8, 5, 70, 21, 43, 88, 62, 96, 30, 63, 4, 77, 41, 15, 50, 26, 38, 61, 97, 11, 75, 33, 47, 91, 79, 39, 52, 55, 87, 42, 58, 45, 28, 27, 10, 56, 85, 82, 81, 29, 13, 68, 46, 98, 3, 51]",0.00043425811056353936,2302.77794628244
6,78,0.0003832256390332259,0.00043425811056353936,0.00041721853223334747,1.1798064420110705e-05,"[80, 40, 57, 60, 31, 65, 16, 12, 24, 64, 72, 83, 99, 71, 35, 86, 23, 66, 67, 93, 92, 94, 69, 78, 76, 7, 32, 49, 20, 90, 22, 9, 73, 59, 100, 84, 48, 18, 1, 2, 36, 14, 44, 25, 53, 17, 19, 95, 34, 6, 54, 74, 89, 37, 8, 5, 70, 21, 43, 88, 62, 96, 30, 63, 4, 77, 41, 15, 50, 26, 38, 61, 97, 11, 75, 33, 47, 91, 79, 39, 52, 55, 87, 42, 58, 45, 28, 27, 10, 56, 85, 82, 81, 29, 13, 68, 46, 98, 3, 51]",0.00043425811056353936,2302.77794628244
7,79,0.0003832256390332259,0.00043425811056353936,0.00041564342463217994,1.1661883457046293e-05,"[80, 40, 57, 60, 31, 65, 16, 12, 24, 64, 72, 83, 99, 71, 35, 86, 23, 66, 67, 93, 92, 94, 69, 78, 76, 7, 32, 49, 20, 90, 22, 9, 73, 59, 100, 84, 48, 18, 1, 2, 36, 14, 44, 25, 53, 17, 19, 95, 34, 6, 54, 74, 89, 37, 8, 5, 70, 21, 43, 88, 62, 96, 30, 63, 4, 77, 41, 15, 50, 26, 38, 61, 97, 11, 75, 33, 47, 91, 79, 39, 52, 55, 87, 42, 58, 45, 28, 27, 10, 56, 85, 82, 81, 29, 13, 68, 46, 98, 3, 51]",0.00043425811056353936,2302.77794628244
8,82,0.0003832256390332259,0.00043425811056353936,0.0004149628531465764,1.1569489945395509e-05,"[80, 40, 57, 60, 31, 65, 16, 12, 24, 64, 72, 83, 99, 71, 35, 86, 23, 66, 67, 93, 92, 94, 69, 78, 76, 7, 32, 49, 20, 90, 22, 9, 73, 59, 100, 84, 48, 18, 1, 2, 36, 14, 44, 25, 53, 17, 19, 95, 34, 6, 54, 74, 89, 37, 8, 5, 70, 21, 43, 88, 62, 96, 30, 63, 4, 77, 41, 15, 50, 26, 38, 61, 97, 11, 75, 33, 47, 91, 79, 39, 52, 55, 87, 42, 58, 45, 28, 27, 10, 56, 85, 82, 81, 29, 13, 68, 46, 98, 3, 51]",0.00043425811056353936,2302.77794628244
9,77,0.00038853606462494486,0.00043425811056353936,0.00041741338152993974,1.043674851860254e-05,"[80, 40, 57, 60, 31, 65, 16, 12, 24, 64, 72, 83, 99, 71, 35, 86, 23, 66, 67, 93, 92, 94, 69, 78, 76, 7, 32, 49, 20, 90, 22, 9, 73, 59, 100, 84, 48, 18, 1, 2, 36, 14, 44, 25, 53, 17, 19, 95, 34, 6, 54, 74, 89, 37, 8, 5, 70, 21, 43, 88, 62, 96, 30, 63, 4, 77, 41, 15, 50, 26, 38, 61, 97, 11, 75, 33, 47, 91, 79, 39, 52, 55, 87, 42, 58, 45, 28, 27, 10, 56, 85, 82, 81, 29, 13, 68, 46, 98, 3, 51]",0.00043425811056353936,2302.77794628244
