generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,Best individual,Best fitness,Total distance
0,8,0.005532596990752183,0.007146818418423209,0.006385537928512304,0.0004992671064523043,"[3, 6, 10, 2, 5, 1, 4, 9, 8, 7]",0.007146818418423209,139.92240203307534
1,10,0.006105745360729448,0.007146818418423209,0.006640983413880486,0.00045277924677979034,"[3, 6, 10, 2, 5, 1, 4, 9, 8, 7]",0.007146818418423209,139.92240203307534
2,6,0.006105745360729448,0.007146818418423209,0.006421068174669244,0.00043649451107557254,"[3, 6, 10, 2, 5, 1, 4, 9, 8, 7]",0.007146818418423209,139.92240203307534
3,6,0.006105745360729448,0.007146818418423209,0.006348829422908953,0.0003836767758758956,"[3, 6, 10, 2, 5, 1, 4, 9, 8, 7]",0.007146818418423209,139.92240203307534
4,10,0.006105745360729448,0.007146818418423209,0.006442852765510031,0.0004255117117226198,"[3, 6, 10, 2, 5, 1, 4, 9, 8, 7]",0.007146818418423209,139.92240203307534
5,2,0.006105745360729448,0.007146818418423209,0.006545575839151931,0.0004578372195239534,"[3, 6, 10, 2, 5, 1, 4, 9, 8, 7]",0.007146818418423209,139.92240203307534
6,4,0.006105745360729448,0.007146818418423209,0.006325660599940689,0.0003913696107620662,"[3, 6, 10, 2, 5, 1, 4, 9, 8, 7]",0.007146818418423209,139.92240203307534
7,10,0.006105745360729448,0.006323591269137316,0.0061275299515702345,6.535377252243472e-05,"[10, 3, 7, 5, 1, 8, 9, 4, 6, 2]",0.006323591269137316,158.1379879627203
8,10,0.006105745360729448,0.006105745360729448,0.006105745360729448,8.231806349783991e-11,"[8, 3, 4, 2, 6, 9, 5, 7, 10, 1]",0.006105745360729448,163.78016784514756
9,6,0.006105745360729448,0.006105745360729448,0.006105745360729448,8.231806349783991e-11,"[8, 3, 4, 2, 6, 9, 5, 7, 10, 1]",0.006105745360729448,163.78016784514756
