generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,Best individual,Best fitness,Total distance
0,2,0.004671488518233611,0.006197356024578251,0.005331205818807194,0.0007086432867893475,"[10, 6, 1, 4, 5, 9, 2, 3, 8, 7]",0.006197356024578251,161.3591338038471
1,0,0.004671488518233611,0.006197356024578251,0.005343548393316126,0.0006980409302804973,"[10, 6, 1, 4, 5, 9, 2, 3, 8, 7]",0.006197356024578251,161.3591338038471
2,0,0.004671488518233611,0.006197356024578251,0.005343548393316126,0.0006980409302804973,"[10, 6, 1, 4, 5, 9, 2, 3, 8, 7]",0.006197356024578251,161.3591338038471
3,0,0.0047949142633229285,0.006197356024578251,0.005215646791699526,0.0006426795528719641,"[10, 6, 1, 4, 5, 9, 2, 3, 8, 7]",0.006197356024578251,161.3591338038471
4,0,0.0047949142633229285,0.006197356024578251,0.005215646791699525,0.0006426795528719694,"[10, 6, 1, 4, 5, 9, 2, 3, 8, 7]",0.006197356024578251,161.3591338038471
5,0,0.0047949142633229285,0.006197356024578251,0.005355890967825058,0.0006870533418091316,"[10, 6, 1, 4, 5, 9, 2, 3, 8, 7]",0.006197356024578251,161.3591338038471
6,2,0.0047949142633229285,0.006197356024578251,0.005636379320076122,0.0006870533418091366,"[10, 6, 1, 4, 5, 9, 2, 3, 8, 7]",0.006197356024578251,161.3591338038471
7,0,0.0047949142633229285,0.006197356024578251,0.005916867672327187,0.0005609767045021203,"[10, 6, 1, 4, 5, 9, 2, 3, 8, 7]",0.006197356024578251,161.3591338038471
8,0,0.0047949142633229285,0.006197356024578251,0.006057111848452718,0.0004207325283766043,"[10, 6, 1, 4, 5, 9, 2, 3, 8, 7]",0.006197356024578251,161.3591338038471
9,0,0.0047949142633229285,0.006197356024578251,0.006057111848452718,0.0004207325283766043,"[10, 6, 1, 4, 5, 9, 2, 3, 8, 7]",0.006197356024578251,161.3591338038471
