generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,Best individual,Best fitness,Total distance
0,17,0.00031012292960019605,0.0003955026389338071,0.00035309764260546236,1.7595678297627616e-05,"[52, 21, 50, 88, 25, 45, 29, 11, 56, 40, 27, 59, 28, 46, 30, 22, 33, 35, 66, 58, 91, 31, 32, 5, 20, 19, 37, 85, 3, 90, 81, 75, 55, 42, 36, 73, 38, 76, 83, 15, 98, 96, 16, 72, 80, 6, 84, 14, 74, 13, 17, 8, 71, 87, 2, 79, 48, 100, 47, 97, 54, 41, 68, 10, 24, 1, 92, 34, 9, 78, 82, 69, 61, 4, 95, 89, 23, 26, 70, 94, 57, 77, 39, 60, 67, 65, 63, 12, 62, 64, 53, 43, 93, 44, 7, 49, 18, 86, 99, 51]",0.0003955026389338071,2528.428135639732
1,16,0.00031012292960019605,0.0003955026389338071,0.0003533703822877778,1.7101103790945244e-05,"[52, 21, 50, 88, 25, 45, 29, 11, 56, 40, 27, 59, 28, 46, 30, 22, 33, 35, 66, 58, 91, 31, 32, 5, 20, 19, 37, 85, 3, 90, 81, 75, 55, 42, 36, 73, 38, 76, 83, 15, 98, 96, 16, 72, 80, 6, 84, 14, 74, 13, 17, 8, 71, 87, 2, 79, 48, 100, 47, 97, 54, 41, 68, 10, 24, 1, 92, 34, 9, 78, 82, 69, 61, 4, 95, 89, 23, 26, 70, 94, 57, 77, 39, 60, 67, 65, 63, 12, 62, 64, 53, 43, 93, 44, 7, 49, 18, 86, 99, 51]",0.0003955026389338071,2528.428135639732
2,13,0.0003261307001476542,0.0003955026389338071,0.0003547336577373585,1.6104052789764917e-05,"[52, 21, 50, 88, 25, 45, 29, 11, 56, 40, 27, 59, 28, 46, 30, 22, 33, 35, 66, 58, 91, 31, 32, 5, 20, 19, 37, 85, 3, 90, 81, 75, 55, 42, 36, 73, 38, 76, 83, 15, 98, 96, 16, 72, 80, 6, 84, 14, 74, 13, 17, 8, 71, 87, 2, 79, 48, 100, 47, 97, 54, 41, 68, 10, 24, 1, 92, 34, 9, 78, 82, 69, 61, 4, 95, 89, 23, 26, 70, 94, 57, 77, 39, 60, 67, 65, 63, 12, 62, 64, 53, 43, 93, 44, 7, 49, 18, 86, 99, 51]",0.0003955026389338071,2528.428135639732
3,21,0.00032655366258369715,0.00037516318973285814,0.00035406194957954767,1.4025172503717582e-05,"[100, 54, 5, 51, 33, 59, 90, 74, 39, 41, 6, 43, 64, 62, 71, 85, 18, 66, 32, 73, 60, 87, 63, 92, 52, 88, 98, 50, 46, 31, 12, 19, 58, 84, 79, 89, 10, 48, 75, 24, 4, 13, 44, 11, 9, 91, 17, 55, 69, 16, 20, 76, 67, 23, 99, 80, 47, 53, 70, 36, 61, 56, 37, 34, 94, 15, 35, 57, 68, 8, 93, 81, 49, 38, 7, 40, 25, 42, 65, 14, 1, 28, 22, 95, 21, 96, 2, 77, 72, 78, 27, 26, 30, 97, 82, 83, 3, 45, 29, 86]",0.00037516318973285814,2665.506711125013
4,23,0.00032655366258369715,0.00037516318973285814,0.00035467092407775417,1.2745584339073015e-05,"[100, 54, 5, 51, 33, 59, 90, 74, 39, 41, 6, 43, 64, 62, 71, 85, 18, 66, 32, 73, 60, 87, 63, 92, 52, 88, 98, 50, 46, 31, 12, 19, 58, 84, 79, 89, 10, 48, 75, 24, 4, 13, 44, 11, 9, 91, 17, 55, 69, 16, 20, 76, 67, 23, 99, 80, 47, 53, 70, 36, 61, 56, 37, 34, 94, 15, 35, 57, 68, 8, 93, 81, 49, 38, 7, 40, 25, 42, 65, 14, 1, 28, 22, 95, 21, 96, 2, 77, 72, 78, 27, 26, 30, 97, 82, 83, 3, 45, 29, 86]",0.00037516318973285814,2665.506711125013
5,18,0.00032655366258369715,0.00037516318973285814,0.00035513310750067523,1.2209933348421704e-05,"[100, 54, 5, 51, 33, 59, 90, 74, 39, 41, 6, 43, 64, 62, 71, 85, 18, 66, 32, 73, 60, 87, 63, 92, 52, 88, 98, 50, 46, 31, 12, 19, 58, 84, 79, 89, 10, 48, 75, 24, 4, 13, 44, 11, 9, 91, 17, 55, 69, 16, 20, 76, 67, 23, 99, 80, 47, 53, 70, 36, 61, 56, 37, 34, 94, 15, 35, 57, 68, 8, 93, 81, 49, 38, 7, 40, 25, 42, 65, 14, 1, 28, 22, 95, 21, 96, 2, 77, 72, 78, 27, 26, 30, 97, 82, 83, 3, 45, 29, 86]",0.00037516318973285814,2665.506711125013
6,7,0.00032655366258369715,0.00037516318973285814,0.0003566010120327546,1.1567300982104624e-05,"[100, 54, 5, 51, 33, 59, 90, 74, 39, 41, 6, 43, 64, 62, 71, 85, 18, 66, 32, 73, 60, 87, 63, 92, 52, 88, 98, 50, 46, 31, 12, 19, 58, 84, 79, 89, 10, 48, 75, 24, 4, 13, 44, 11, 9, 91, 17, 55, 69, 16, 20, 76, 67, 23, 99, 80, 47, 53, 70, 36, 61, 56, 37, 34, 94, 15, 35, 57, 68, 8, 93, 81, 49, 38, 7, 40, 25, 42, 65, 14, 1, 28, 22, 95, 21, 96, 2, 77, 72, 78, 27, 26, 30, 97, 82, 83, 3, 45, 29, 86]",0.00037516318973285814,2665.506711125013
7,20,0.00032655366258369715,0.00037516318973285814,0.0003574675051481126,1.1820817890680338e-05,"[100, 54, 5, 51, 33, 59, 90, 74, 39, 41, 6, 43, 64, 62, 71, 85, 18, 66, 32, 73, 60, 87, 63, 92, 52, 88, 98, 50, 46, 31, 12, 19, 58, 84, 79, 89, 10, 48, 75, 24, 4, 13, 44, 11, 9, 91, 17, 55, 69, 16, 20, 76, 67, 23, 99, 80, 47, 53, 70, 36, 61, 56, 37, 34, 94, 15, 35, 57, 68, 8, 93, 81, 49, 38, 7, 40, 25, 42, 65, 14, 1, 28, 22, 95, 21, 96, 2, 77, 72, 78, 27, 26, 30, 97, 82, 83, 3, 45, 29, 86]",0.00037516318973285814,2665.506711125013
8,10,0.00032655366258369715,0.00037516318973285814,0.00035718090332580616,1.1894984526537891e-05,"[100, 54, 5, 51, 33, 59, 90, 74, 39, 41, 6, 43, 64, 62, 71, 85, 18, 66, 32, 73, 60, 87, 63, 92, 52, 88, 98, 50, 46, 31, 12, 19, 58, 84, 79, 89, 10, 48, 75, 24, 4, 13, 44, 11, 9, 91, 17, 55, 69, 16, 20, 76, 67, 23, 99, 80, 47, 53, 70, 36, 61, 56, 37, 34, 94, 15, 35, 57, 68, 8, 93, 81, 49, 38, 7, 40, 25, 42, 65, 14, 1, 28, 22, 95, 21, 96, 2, 77, 72, 78, 27, 26, 30, 97, 82, 83, 3, 45, 29, 86]",0.00037516318973285814,2665.506711125013
9,20,0.00032655366258369715,0.00037516318973285814,0.00035895720888634596,1.1440778959462404e-05,"[100, 54, 5, 51, 33, 59, 90, 74, 39, 41, 6, 43, 64, 62, 71, 85, 18, 66, 32, 73, 60, 87, 63, 92, 52, 88, 98, 50, 46, 31, 12, 19, 58, 84, 79, 89, 10, 48, 75, 24, 4, 13, 44, 11, 9, 91, 17, 55, 69, 16, 20, 76, 67, 23, 99, 80, 47, 53, 70, 36, 61, 56, 37, 34, 94, 15, 35, 57, 68, 8, 93, 81, 49, 38, 7, 40, 25, 42, 65, 14, 1, 28, 22, 95, 21, 96, 2, 77, 72, 78, 27, 26, 30, 97, 82, 83, 3, 45, 29, 86]",0.00037516318973285814,2665.506711125013
