generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,349,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
1,343,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
2,332,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
3,311,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
4,341,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
5,343,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
6,339,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
7,345,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
8,361,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
9,337,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
10,350,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
11,342,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
12,357,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
13,357,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
14,341,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
15,342,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
16,352,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
17,318,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
18,340,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
19,329,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
20,349,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
21,330,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
22,318,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
23,355,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
24,335,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
25,350,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
26,354,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
27,344,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
28,332,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
29,341,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
30,330,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
31,336,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
32,346,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
33,323,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
34,349,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
35,329,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
36,344,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
37,331,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
38,345,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
39,344,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
40,352,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
41,344,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
42,333,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
43,352,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
44,336,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
45,337,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
46,336,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
47,365,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
48,325,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
49,330,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
50,347,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
51,339,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
52,339,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
53,347,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
54,340,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
55,352,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
56,337,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
57,336,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
58,350,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
59,325,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
60,359,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
61,347,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
62,335,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
63,346,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
64,348,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
65,340,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
66,338,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
67,344,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
68,335,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
69,326,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
70,327,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
71,342,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
72,356,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
73,328,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
74,316,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
75,331,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
76,348,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
77,340,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
78,343,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
79,345,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
80,353,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
81,336,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
82,329,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
83,345,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
84,341,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
85,345,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
86,343,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
87,366,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
88,345,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
89,366,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
90,346,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
91,360,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
92,351,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
93,339,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
94,342,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
95,332,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
96,335,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
97,339,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
98,347,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
99,346,0.03002854067691021,0.03002854067691021,0.0300285406769104,3.8680731611876166e-09
