generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,95,0.0032952125986016067,0.004858854833096092,0.004075870017622548,0.0003599178710921289
1,92,0.0032952125986016067,0.004858854833096092,0.004153380438918843,0.00035436054226966484
2,92,0.0032952125986016067,0.004668499762418156,0.004182334790579722,0.00030074355106338364
3,84,0.0032952125986016067,0.004668499762418156,0.004198502775500916,0.00028637347920560177
4,81,0.0032952125986016067,0.004668499762418156,0.004228923006121229,0.00025587457284416995
5,85,0.0033597864558026773,0.004668499762418156,0.004241140453239926,0.00022593413642486526
6,86,0.0033597864558026773,0.004668499762418156,0.004253316334516019,0.00022334722008121574
7,78,0.0036861889223753063,0.004668499762418156,0.004297084243126981,0.00016252182040937268
8,80,0.0036861889223753063,0.004668499762418156,0.004317384563788281,0.0001792698712350931
9,76,0.0036861889223753063,0.004668499762418156,0.004341701965554435,0.00016500306757849225
10,88,0.0036861889223753063,0.004668499762418156,0.004347417605449423,0.00019760854015026007
11,82,0.0036861889223753063,0.004668499762418156,0.004364207132848637,0.0001778600646621442
12,89,0.004118643439714569,0.004668499762418156,0.004372348643119256,0.0001538329036696316
13,88,0.004118643439714569,0.004668499762418156,0.004374690667689172,0.00016685949854512488
14,85,0.004118643439714569,0.004668499762418156,0.004381967317580987,0.00018349585447963924
15,80,0.004118643439714569,0.004668499762418156,0.00436998659372759,0.00016760985012468992
16,98,0.004118643439714569,0.004668499762418156,0.004416448218353015,0.00017815254236676394
17,78,0.004118643439714569,0.004668499762418156,0.004424579930588591,0.0001739710451867107
18,87,0.004118643439714569,0.004668499762418156,0.0044478867387925,0.00018030159475779272
19,80,0.004118643439714569,0.004668499762418156,0.004424582046592404,0.00018441265559142382
20,80,0.004118643439714569,0.004668499762418156,0.004441307100891203,0.00018022566559477223
21,90,0.004118643439714569,0.004668499762418156,0.004454728613924317,0.0001838786315364632
22,80,0.004118643439714569,0.004668499762418156,0.0044718055682336725,0.00018601302405746512
23,86,0.004118643439714569,0.004668499762418156,0.00449242975283133,0.00018783333960882616
24,94,0.004118643439714569,0.004668499762418156,0.0044926222800498496,0.00018150418118254347
25,76,0.004118643439714569,0.004668499762418156,0.004482826085740003,0.00017215573396362044
26,92,0.004118643439714569,0.004668499762418156,0.004480465845642193,0.00017548239125178338
27,90,0.004118643439714569,0.004668499762418156,0.0044801396717841875,0.00017961784328962481
28,80,0.004118643439714569,0.004668499762418156,0.004493334493819048,0.00017074399649310272
29,85,0.004118643439714569,0.004668499762418156,0.004507555951371554,0.00017662941794556645
30,92,0.004118643439714569,0.004668499762418156,0.004510307365445686,0.00016955204492289898
31,80,0.004118643439714569,0.004668499762418156,0.004529216803134659,0.00016555849381859225
32,82,0.004276182250666067,0.004668499762418156,0.0045425684855536184,0.0001524505242214046
33,86,0.004276182250666067,0.004668499762418156,0.004551919997977092,0.0001497249899040744
34,83,0.004276182250666067,0.004668499762418156,0.004553879791106045,0.0001473247996302457
35,79,0.004276182250666067,0.004668499762418156,0.004554664643094341,0.00014604683127097089
36,75,0.004354667449495699,0.004668499762418156,0.004545835892259164,0.00014449211916572622
37,88,0.004354667449495699,0.004668499762418156,0.004533410598494625,0.0001437232940416963
38,96,0.004354667449495699,0.004668499762418156,0.004524648893483267,0.00014414722807740602
39,81,0.004354667449495699,0.004668499762418156,0.004527460584424335,0.00014418351338389918
40,88,0.004354667449495699,0.004668499762418156,0.004506145586896079,0.00014431810064151855
41,84,0.004354667449495699,0.004668499762418156,0.004520857305977727,0.00014507515756101
42,86,0.004354667449495699,0.004668499762418156,0.004533083966306467,0.00014409155504305636
43,90,0.004354667449495699,0.004668499762418156,0.004542825567882299,0.00014197444371608943
44,74,0.004354667449495699,0.004668499762418156,0.0045368755538120085,0.00014283305412499553
45,78,0.004354667449495699,0.004668499762418156,0.004540340509129392,0.00014185261936412806
46,84,0.004354667449495699,0.004668499762418156,0.004529093745365126,0.00014239088669100051
47,83,0.004354667449495699,0.004668499762418156,0.004546943787575999,0.00014002479701808105
48,88,0.004354667449495699,0.004668499762418156,0.004523796995671154,0.00014197565311369222
49,90,0.004354667449495699,0.004668499762418156,0.004513530128471364,0.0001402126666187309
50,85,0.004354667449495699,0.004668499762418156,0.004541320405693866,0.00014067455780130358
51,86,0.004354667449495699,0.004668499762418156,0.004558517183528421,0.00013758648970660364
52,78,0.004387330668311548,0.004668499762418156,0.004561655506657647,0.00013647566674558517
53,88,0.004387330668311548,0.004668499762418156,0.004570090579480846,0.00013410911054753034
54,83,0.004387330668311548,0.004668499762418156,0.00456727888853978,0.00013496116517110234
55,83,0.004387330668311548,0.004668499762418156,0.004558843815716581,0.00013714020763601863
56,91,0.004387330668311548,0.004668499762418156,0.004561655506657648,0.00013647566674557276
57,90,0.004387330668311548,0.004668499762418156,0.004570090579480846,0.00013410911054754298
58,87,0.004387330668311548,0.004668499762418156,0.004601019179832574,0.00012008257679307738
59,82,0.004387330668311548,0.004668499762418156,0.004609454252655773,0.00011452248804417178
60,88,0.004387330668311548,0.004668499762418156,0.004606642561714705,0.00011647325790441779
61,84,0.004387330668311548,0.004668499762418156,0.004592584107009375,0.00012482767851575472
62,88,0.004387330668311548,0.004668499762418156,0.0045841490341861765,0.00012884786568248899
63,86,0.004387330668311548,0.004668499762418156,0.00456727888853978,0.00013496116517110234
64,90,0.004387330668311548,0.004668499762418156,0.004558843815716582,0.000137140207636031
65,88,0.004387330668311548,0.004668499762418156,0.004567278888539782,0.00013496116517105214
66,82,0.004387330668311548,0.004668499762418156,0.004575713961362977,0.00013220928390692764
67,82,0.004387330668311548,0.004668499762418156,0.00458977241606831,0.0001262446101474579
68,84,0.004387330668311548,0.004668499762418156,0.004578525652304045,0.00013115867696416578
69,78,0.004387330668311548,0.004668499762418156,0.0045953957979504405,0.0001233303930264969
70,90,0.004387330668311548,0.004668499762418156,0.004606642561714707,0.00011647325790437415
71,82,0.004387330668311548,0.004668499762418156,0.004609454252655773,0.00011452248804415698
72,83,0.004387330668311548,0.004668499762418156,0.0046122659435968395,0.00011246763764249992
73,82,0.004387330668311548,0.004668499762418156,0.004606642561714707,0.0001164732579043887
74,88,0.004387330668311548,0.004668499762418156,0.004612265943596838,0.00011246763764257525
75,90,0.004387330668311548,0.004668499762418156,0.004646006234889633,7.627926309123163e-05
76,83,0.004387330668311548,0.004668499762418156,0.004634759471125368,9.136914074856532e-05
77,90,0.004387330668311548,0.004668499762418156,0.004637571162066434,8.797492951478464e-05
78,88,0.004387330668311548,0.004668499762418156,0.004654441307712831,6.127938336257727e-05
79,84,0.004387330668311548,0.004668499762418156,0.004657252998653899,5.509766495971388e-05
80,88,0.004387330668311548,0.004668499762418156,0.0046628763805360305,3.936367317434627e-05
81,92,0.004387330668311548,0.004668499762418156,0.0046488179258307,7.17394554771185e-05
82,88,0.004387330668311548,0.004668499762418156,0.004654441307712831,6.127938336254963e-05
83,81,0.004387330668311548,0.004668499762418156,0.004660064689594965,4.796385442021674e-05
84,88,0.004387330668311548,0.004668499762418156,0.0046488179258307,7.17394554771185e-05
85,76,0.004387330668311548,0.004668499762418156,0.0046516296167717665,6.6773960154148e-05
86,84,0.004387330668311548,0.004668499762418156,0.004665688071477097,2.7975971632965758e-05
87,84,0.004387330668311548,0.004668499762418156,0.004665688071477097,2.7975971632965758e-05
88,89,0.004668499762418156,0.004668499762418156,0.004668499762418163,2.1779312442370815e-10
89,76,0.004668499762418156,0.004668499762418156,0.004668499762418163,2.1779312442370815e-10
90,84,0.004668499762418156,0.004668499762418156,0.004668499762418163,2.1779312442370815e-10
91,90,0.004668499762418156,0.004668499762418156,0.004668499762418163,2.1779312442370815e-10
