generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,Best individual,Best fitness,Total distance
0,1,0.0022128961717878004,0.002575117248512935,0.0024169229699816607,0.00010596673208892583,"[12, 14, 13, 1, 25, 3, 23, 8, 17, 20, 2, 18, 10, 5, 6, 11, 22, 24, 9, 15, 7, 4, 21, 16, 19]",0.002575117248512935,388.33183249324844
1,2,0.0022128961717878004,0.002575117248512935,0.0024246478896241693,0.00011732764407587759,"[12, 14, 13, 1, 25, 3, 23, 8, 17, 20, 2, 18, 10, 5, 6, 11, 22, 24, 9, 15, 7, 4, 21, 16, 19]",0.002575117248512935,388.33183249324844
2,2,0.0022128961717878004,0.002575117248512935,0.0023839225929790176,0.0001370851919399596,"[12, 14, 13, 1, 25, 3, 23, 8, 17, 20, 2, 18, 10, 5, 6, 11, 22, 24, 9, 15, 7, 4, 21, 16, 19]",0.002575117248512935,388.33183249324844
3,0,0.0022128961717878004,0.002575117248512935,0.002399335112112135,0.00013462045313392048,"[12, 14, 13, 1, 25, 3, 23, 8, 17, 20, 2, 18, 10, 5, 6, 11, 22, 24, 9, 15, 7, 4, 21, 16, 19]",0.002575117248512935,388.33183249324844
4,4,0.0022128961717878004,0.002575117248512935,0.002429906699151867,0.00012938759983573028,"[12, 14, 13, 1, 25, 3, 23, 8, 17, 20, 2, 18, 10, 5, 6, 11, 22, 24, 9, 15, 7, 4, 21, 16, 19]",0.002575117248512935,388.33183249324844
5,4,0.0022128961717878004,0.002575117248512935,0.0024490338429499687,0.00011381026274818752,"[12, 14, 13, 1, 25, 3, 23, 8, 17, 20, 2, 18, 10, 5, 6, 11, 22, 24, 9, 15, 7, 4, 21, 16, 19]",0.002575117248512935,388.33183249324844
6,2,0.00232777305137479,0.0025656998296745954,0.002430374982827964,0.00010397509981086638,"[6, 8, 5, 24, 21, 13, 23, 4, 11, 9, 17, 20, 12, 2, 15, 10, 22, 7, 18, 1, 16, 25, 3, 19, 14]",0.0025656998296745954,389.75720715031144
7,1,0.00232777305137479,0.0025656998296745954,0.0024342934279889504,0.00010330178736888664,"[6, 8, 5, 24, 21, 13, 23, 4, 11, 9, 17, 20, 12, 2, 15, 10, 22, 7, 18, 1, 16, 25, 3, 19, 14]",0.0025656998296745954,389.75720715031144
8,5,0.00232777305137479,0.0025656998296745954,0.002437631155344829,0.0001027712195765485,"[6, 8, 5, 24, 21, 13, 23, 4, 11, 9, 17, 20, 12, 2, 15, 10, 22, 7, 18, 1, 16, 25, 3, 19, 14]",0.0025656998296745954,389.75720715031144
9,6,0.00232777305137479,0.0025656998296745954,0.0024647059161298766,0.00010704169601040057,"[6, 8, 5, 24, 21, 13, 23, 4, 11, 9, 17, 20, 12, 2, 15, 10, 22, 7, 18, 1, 16, 25, 3, 19, 14]",0.0025656998296745954,389.75720715031144
