generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,Best individual,Best fitness,Total distance
0,16,0.0003215496325346966,0.00039186529391338156,0.00035121264604333813,1.5863825246291564e-05,"[4, 5, 2, 52, 3, 74, 26, 47, 19, 28, 45, 75, 23, 11, 38, 86, 13, 50, 55, 98, 78, 83, 70, 66, 12, 17, 73, 93, 20, 24, 67, 82, 100, 49, 16, 33, 22, 77, 30, 25, 64, 90, 63, 57, 89, 79, 54, 91, 6, 48, 15, 10, 29, 62, 14, 43, 8, 94, 32, 76, 96, 65, 51, 27, 9, 72, 80, 59, 99, 61, 97, 71, 69, 95, 60, 31, 68, 46, 41, 88, 37, 1, 40, 34, 58, 56, 53, 18, 87, 84, 42, 81, 21, 35, 92, 85, 36, 39, 7, 44]",0.00039186529391338156,2551.8973369992837
1,11,0.0003215496325346966,0.00039186529391338156,0.000351789218066947,1.662788608409735e-05,"[4, 5, 2, 52, 3, 74, 26, 47, 19, 28, 45, 75, 23, 11, 38, 86, 13, 50, 55, 98, 78, 83, 70, 66, 12, 17, 73, 93, 20, 24, 67, 82, 100, 49, 16, 33, 22, 77, 30, 25, 64, 90, 63, 57, 89, 79, 54, 91, 6, 48, 15, 10, 29, 62, 14, 43, 8, 94, 32, 76, 96, 65, 51, 27, 9, 72, 80, 59, 99, 61, 97, 71, 69, 95, 60, 31, 68, 46, 41, 88, 37, 1, 40, 34, 58, 56, 53, 18, 87, 84, 42, 81, 21, 35, 92, 85, 36, 39, 7, 44]",0.00039186529391338156,2551.8973369992837
2,10,0.0003215496325346966,0.00039186529391338156,0.0003519950326911919,1.518631910671438e-05,"[4, 5, 2, 52, 3, 74, 26, 47, 19, 28, 45, 75, 23, 11, 38, 86, 13, 50, 55, 98, 78, 83, 70, 66, 12, 17, 73, 93, 20, 24, 67, 82, 100, 49, 16, 33, 22, 77, 30, 25, 64, 90, 63, 57, 89, 79, 54, 91, 6, 48, 15, 10, 29, 62, 14, 43, 8, 94, 32, 76, 96, 65, 51, 27, 9, 72, 80, 59, 99, 61, 97, 71, 69, 95, 60, 31, 68, 46, 41, 88, 37, 1, 40, 34, 58, 56, 53, 18, 87, 84, 42, 81, 21, 35, 92, 85, 36, 39, 7, 44]",0.00039186529391338156,2551.8973369992837
3,20,0.0003215496325346966,0.000386715624645885,0.0003492094941484649,1.342009971834669e-05,"[6, 50, 41, 2, 4, 3, 5, 90, 85, 10, 7, 34, 8, 48, 12, 63, 14, 86, 20, 47, 55, 32, 94, 26, 76, 25, 45, 30, 56, 97, 37, 23, 33, 51, 31, 54, 81, 35, 22, 38, 99, 87, 39, 91, 66, 82, 15, 95, 17, 74, 57, 67, 43, 36, 19, 42, 72, 1, 49, 79, 78, 89, 40, 29, 28, 59, 61, 13, 46, 84, 21, 68, 65, 69, 62, 60, 27, 44, 88, 83, 93, 58, 100, 16, 11, 92, 71, 24, 18, 77, 53, 96, 64, 9, 75, 80, 73, 70, 52, 98]",0.000386715624645885,2585.879484222285
4,9,0.0003215496325346966,0.000386715624645885,0.00034981285501370206,1.2356056157969635e-05,"[6, 50, 41, 2, 4, 3, 5, 90, 85, 10, 7, 34, 8, 48, 12, 63, 14, 86, 20, 47, 55, 32, 94, 26, 76, 25, 45, 30, 56, 97, 37, 23, 33, 51, 31, 54, 81, 35, 22, 38, 99, 87, 39, 91, 66, 82, 15, 95, 17, 74, 57, 67, 43, 36, 19, 42, 72, 1, 49, 79, 78, 89, 40, 29, 28, 59, 61, 13, 46, 84, 21, 68, 65, 69, 62, 60, 27, 44, 88, 83, 93, 58, 100, 16, 11, 92, 71, 24, 18, 77, 53, 96, 64, 9, 75, 80, 73, 70, 52, 98]",0.000386715624645885,2585.879484222285
5,14,0.0003215496325346966,0.00037928276651407123,0.00034901803742754174,1.1344852653444013e-05,"[68, 81, 50, 73, 54, 70, 79, 11, 65, 49, 28, 16, 57, 95, 63, 7, 82, 38, 37, 52, 61, 12, 51, 98, 1, 48, 19, 43, 2, 3, 89, 25, 33, 20, 64, 62, 67, 21, 13, 29, 69, 58, 15, 36, 91, 93, 30, 14, 41, 26, 39, 78, 17, 74, 55, 97, 10, 22, 42, 75, 90, 24, 27, 5, 99, 47, 96, 77, 45, 34, 72, 23, 6, 56, 35, 76, 9, 88, 83, 32, 85, 59, 40, 4, 92, 53, 44, 86, 84, 18, 71, 87, 94, 80, 100, 8, 66, 31, 60, 46]",0.00037928276651407123,2636.555330976
6,13,0.0003227161886377413,0.00037928276651407123,0.0003506092265104037,1.075820311253999e-05,"[68, 81, 50, 73, 54, 70, 79, 11, 65, 49, 28, 16, 57, 95, 63, 7, 82, 38, 37, 52, 61, 12, 51, 98, 1, 48, 19, 43, 2, 3, 89, 25, 33, 20, 64, 62, 67, 21, 13, 29, 69, 58, 15, 36, 91, 93, 30, 14, 41, 26, 39, 78, 17, 74, 55, 97, 10, 22, 42, 75, 90, 24, 27, 5, 99, 47, 96, 77, 45, 34, 72, 23, 6, 56, 35, 76, 9, 88, 83, 32, 85, 59, 40, 4, 92, 53, 44, 86, 84, 18, 71, 87, 94, 80, 100, 8, 66, 31, 60, 46]",0.00037928276651407123,2636.555330976
7,20,0.0003227161886377413,0.00037928276651407123,0.00034992122296417094,1.1055444882188834e-05,"[68, 81, 50, 73, 54, 70, 79, 11, 65, 49, 28, 16, 57, 95, 63, 7, 82, 38, 37, 52, 61, 12, 51, 98, 1, 48, 19, 43, 2, 3, 89, 25, 33, 20, 64, 62, 67, 21, 13, 29, 69, 58, 15, 36, 91, 93, 30, 14, 41, 26, 39, 78, 17, 74, 55, 97, 10, 22, 42, 75, 90, 24, 27, 5, 99, 47, 96, 77, 45, 34, 72, 23, 6, 56, 35, 76, 9, 88, 83, 32, 85, 59, 40, 4, 92, 53, 44, 86, 84, 18, 71, 87, 94, 80, 100, 8, 66, 31, 60, 46]",0.00037928276651407123,2636.555330976
8,11,0.0003227161886377413,0.00037928276651407123,0.00034963896028686434,1.0975523511950349e-05,"[68, 81, 50, 73, 54, 70, 79, 11, 65, 49, 28, 16, 57, 95, 63, 7, 82, 38, 37, 52, 61, 12, 51, 98, 1, 48, 19, 43, 2, 3, 89, 25, 33, 20, 64, 62, 67, 21, 13, 29, 69, 58, 15, 36, 91, 93, 30, 14, 41, 26, 39, 78, 17, 74, 55, 97, 10, 22, 42, 75, 90, 24, 27, 5, 99, 47, 96, 77, 45, 34, 72, 23, 6, 56, 35, 76, 9, 88, 83, 32, 85, 59, 40, 4, 92, 53, 44, 86, 84, 18, 71, 87, 94, 80, 100, 8, 66, 31, 60, 46]",0.00037928276651407123,2636.555330976
9,23,0.0003227161886377413,0.00037928276651407123,0.00035100972358980125,1.1902484612723513e-05,"[68, 81, 50, 73, 54, 70, 79, 11, 65, 49, 28, 16, 57, 95, 63, 7, 82, 38, 37, 52, 61, 12, 51, 98, 1, 48, 19, 43, 2, 3, 89, 25, 33, 20, 64, 62, 67, 21, 13, 29, 69, 58, 15, 36, 91, 93, 30, 14, 41, 26, 39, 78, 17, 74, 55, 97, 10, 22, 42, 75, 90, 24, 27, 5, 99, 47, 96, 77, 45, 34, 72, 23, 6, 56, 35, 76, 9, 88, 83, 32, 85, 59, 40, 4, 92, 53, 44, 86, 84, 18, 71, 87, 94, 80, 100, 8, 66, 31, 60, 46]",0.00037928276651407123,2636.555330976
